device,workload,action,status,failure_stage,reference_action,batch_size,num_steps,seed,precheck_reason,runtime_failure,exception_type,exception_message_short,correctness_metric,atol,rtol,max_abs_error,max_rel_error,output_mismatch,state_mismatch,mismatch_key,compared_state_keys,failure_category,evaluation_treatment
RTX 4060,fixed_shape_infer_small,eager,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,output,passed,eager baseline
RTX 4060,fixed_shape_infer_small,best_eager,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,output,passed,eager baseline when legal
RTX 4060,fixed_shape_infer_small,compile_only,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,1.4901e-08,6.50468e-07,false,false,,output,passed,performance stress baseline
RTX 4060,fixed_shape_infer_small,compile_reduce_overhead,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,1.4901e-08,6.50468e-07,false,false,,output,passed,performance stress baseline
RTX 4060,fixed_shape_infer_small,graphs_only,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,output,passed,eligible candidate when valid
RTX 4060,fixed_shape_infer_small,graphs_input_copy,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,output,passed,eligible candidate when valid
RTX 4060,fixed_shape_infer_small,compile_plus_graphs,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,1.4901e-08,6.50468e-07,false,false,,output,passed,diagnostic candidate
RTX 4060,fixed_shape_infer_small,compile_reduce_overhead_plus_graphs,fail,execution,eager,4,3,42,,true,AcceleratorError,CUDA error: operation failed due to a previous error during capture,,1e-05,0.0001,,,false,false,,output,reduce_overhead_plus_explicit_graph_capture_failure,excluded from positive evidence
RTX 4060,short_train_small,eager,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,loss param:net.0.bias param:net.0.weight param:net.2.bias param:net.2.weight param:net.4.bias param:net.4.weight,passed,eager baseline
RTX 4060,short_train_small,best_eager,infeasible,precheck,eager,4,3,42,precheck: RuntimeError: inference_mode_not_valid_for_training_workload,false,RuntimeError,inference_mode_not_valid_for_training_workload,,1e-05,0.0001,,,false,false,,loss param:net.0.bias param:net.0.weight param:net.2.bias param:net.2.weight param:net.4.bias param:net.4.weight,precheck_training_inference_mode,eager baseline when legal
RTX 4060,short_train_small,compile_only,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,loss param:net.0.bias param:net.0.weight param:net.2.bias param:net.2.weight param:net.4.bias param:net.4.weight,passed,performance stress baseline
RTX 4060,short_train_small,compile_reduce_overhead,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,loss param:net.0.bias param:net.0.weight param:net.2.bias param:net.2.weight param:net.4.bias param:net.4.weight,passed,performance stress baseline
RTX 4060,short_train_small,graphs_only,fail,correctness,eager,4,3,42,,false,,Scalars are not close!,torch.testing.assert_close over workload correctness_state,1e-05,0.0001,0.003464698792,0.001508637291,false,true,loss,loss param:net.0.bias param:net.0.weight param:net.2.bias param:net.2.weight param:net.4.bias param:net.4.weight,short_train_loss_mismatch,eligible candidate when valid
RTX 4060,short_train_small,graphs_input_copy,fail,correctness,eager,4,3,42,,false,,Scalars are not close!,torch.testing.assert_close over workload correctness_state,1e-05,0.0001,0.000443458557,0.000190383874,false,true,loss,loss param:net.0.bias param:net.0.weight param:net.2.bias param:net.2.weight param:net.4.bias param:net.4.weight,short_train_loss_mismatch,eligible candidate when valid
RTX 4060,short_train_small,compile_plus_graphs,fail,correctness,eager,4,3,42,,false,,Scalars are not close!,torch.testing.assert_close over workload correctness_state,1e-05,0.0001,0.003464698792,0.001508637291,false,true,loss,loss param:net.0.bias param:net.0.weight param:net.2.bias param:net.2.weight param:net.4.bias param:net.4.weight,short_train_loss_mismatch,diagnostic candidate
RTX 4060,short_train_small,compile_reduce_overhead_plus_graphs,fail,execution,eager,4,3,42,,true,AcceleratorError,CUDA error: operation failed due to a previous error during capture,,1e-05,0.0001,,,false,false,,loss param:net.0.bias param:net.0.weight param:net.2.bias param:net.2.weight param:net.4.bias param:net.4.weight,reduce_overhead_plus_explicit_graph_capture_failure,excluded from positive evidence
RTX 4060,dynamic_shape_infer_small,eager,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,output,passed,eager baseline
RTX 4060,dynamic_shape_infer_small,best_eager,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,output,passed,eager baseline when legal
RTX 4060,dynamic_shape_infer_small,compile_only,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,output,passed,performance stress baseline
RTX 4060,dynamic_shape_infer_small,compile_reduce_overhead,pass,,eager,4,3,42,,false,,,,1e-05,0.0001,0.0,0.0,false,false,,output,passed,performance stress baseline
