batch_size,device_label,eager_runtime_s,graphs_input_copy_correctness_pass,graphs_input_copy_feasible,graphs_input_copy_runtime_feasible,graphs_only_correctness_pass,graphs_only_feasible,graphs_only_first_job_slower_than_eager,graphs_only_runtime_feasible,graphs_only_runtime_s,graphs_only_speedup_vs_eager,graphs_only_win_vs_eager,num_steps,oracle_action,oracle_runtime_s,reuse_jobs,workload_id
4,A100,0.020691,True,True,True,True,True,False,True,0.012216,1.6937622789783893,True,50,graphs_only,0.012216,8,cv_online_infer
4,A100,0.041232,True,True,True,True,True,False,True,0.022888,1.8014680181754632,True,100,graphs_only,0.022888,8,cv_online_infer
4,A100,0.205224,True,True,True,True,True,False,True,0.110557,1.856273234621055,True,500,graphs_only,0.110557,8,cv_online_infer
16,A100,0.041787,True,True,True,True,True,True,True,0.043206,0.9671573392584363,False,50,best_eager,0.041738,8,cv_online_infer
16,A100,0.083852,True,True,True,True,True,True,True,0.0818,1.025085574572127,True,100,graphs_only,0.0818,8,cv_online_infer
16,A100,0.415576,True,True,True,True,True,True,True,0.403647,1.029553050066023,True,500,graphs_only,0.403647,8,cv_online_infer
4,A100,0.005996,True,False,False,True,False,False,False,,,False,50,eager,0.005996,8,dynamic_shape_infer_small
4,A100,0.011967,True,False,False,True,False,False,False,,,False,100,eager,0.011967,8,dynamic_shape_infer_small
4,A100,0.059381,True,False,False,True,False,False,False,,,False,500,eager,0.059381,8,dynamic_shape_infer_small
16,A100,0.006164,True,False,False,True,False,False,False,,,False,50,eager,0.006164,8,dynamic_shape_infer_small
16,A100,0.012332,True,False,False,True,False,False,False,,,False,100,eager,0.012332,8,dynamic_shape_infer_small
16,A100,0.060887,True,False,False,True,False,False,False,,,False,500,eager,0.060887,8,dynamic_shape_infer_small
4,A100,0.013249,True,True,True,True,True,False,True,0.00298,4.445973154362417,True,50,graphs_input_copy,0.002772,8,llm_decode_proxy
4,A100,0.030783,True,True,True,True,True,False,True,0.003509,8.77258478198917,True,100,graphs_only,0.003509,8,llm_decode_proxy
4,A100,0.13193,True,True,True,True,True,False,True,0.016108,8.190340203625526,True,500,graphs_only,0.016108,8,llm_decode_proxy
16,A100,0.013296,True,True,True,True,True,False,True,0.002469,5.385176184690159,True,50,graphs_only,0.002469,8,llm_decode_proxy
16,A100,0.026708,True,True,True,True,True,False,True,0.005281,5.05737549706495,True,100,graphs_only,0.005281,8,llm_decode_proxy
16,A100,0.134537,True,True,True,True,True,False,True,0.020049,6.7104094967330035,True,500,graphs_only,0.020049,8,llm_decode_proxy
4,A100,0.035317,False,False,True,False,False,False,True,,,False,50,eager,0.035317,8,short_train_small
4,A100,0.063385,False,False,True,False,False,False,True,,,False,100,eager,0.063385,8,short_train_small
4,A100,0.326065,False,False,True,False,False,False,True,,,False,500,eager,0.326065,8,short_train_small
16,A100,0.035593,False,False,True,False,False,False,True,,,False,50,eager,0.035593,8,short_train_small
16,A100,0.070911,False,False,True,False,False,False,True,,,False,100,eager,0.070911,8,short_train_small
