conditions,device,mean_normalized_regret,missed_median_benefit_vs_base_s,missed_opportunity_count,missed_opportunity_rate,missed_p90_benefit_vs_base_s,missed_total_benefit_vs_base_s,p95_normalized_regret,policy,policy_failure_count,wrong_admit_count,wrong_admit_decisive_count_ge5pct,wrong_admit_marginal_count_lt5pct,wrong_admit_median_excess_vs_base_s,wrong_admit_median_norm_excess_vs_base,wrong_admit_p90_excess_vs_base_s,wrong_admit_p90_norm_excess_vs_base,wrong_admit_rate,wrong_admit_total_excess_worker_time_s
208,RTX 4060,0.005855,0.001638,13,0.0625,0.002772,0.021817,0.027498,amortization_policy,0,13,0,13,0.001323,0.009994,0.012267,0.020404,0.0625,0.163977
208,RTX 4060,0.006711,0.002143,1,0.004808,0.002143,0.002143,0.034634,risk_aware_policy,0,31,0,31,0.001712,0.017876,0.012267,0.041797,0.149038,0.208542
208,RTX 4060,0.006846,0.002143,1,0.004808,0.002143,0.002143,0.034634,first_k_probe_policy,0,32,1,31,0.001712,0.017876,0.012267,0.041797,0.153846,0.246179
208,RTX 4060,0.006833,0.001638,13,0.0625,0.002772,0.021817,0.02779,static_gate_plus_eligibility,0,13,0,13,0.001323,0.009994,0.012267,0.020404,0.0625,0.163977
208,RTX 4060,0.040731,0.004172,62,0.298077,0.029249,0.582748,0.269957,workload_family_holdout_policy,0,0,0,0,,,,,0.0,0
208,RTX 4060,0.014742,,0,0.0,,0,0.048725,always_graphs,80,78,6,72,0.001529,0.021126,0.005745,0.044876,0.375,0.374623
208,RTX 4060,1.776841,0.001638,13,0.0625,0.002772,0.021817,21.284423,static_threshold,8,28,16,12,2.053129,13.499898,2.82468,26.025421,0.134615,40.462212
208,RTX 4060,14.144894,0.001638,13,0.0625,0.002772,0.021817,45.38535,job_length_only,0,104,104,0,2.774767,26.025421,3.327478,41.552525,0.5,288.685194
208,RTX 4060,4.336989,,0,0.0,,0,29.180285,shape_only,16,88,38,50,0.00337,0.039147,2.776971,29.180285,0.423077,80.625943
208,RTX 4060,32.152757,,0,0.0,,0,53.0403,always_compile,0,208,208,0,2.780604,30.666306,3.344716,47.718171,1.0,580.006711
