device,max_normalized_regret,max_regret_vs_oracle_s,median_normalized_regret,missed_opportunity_rate,n_conditions,p90_normalized_regret,policy,policy_failure_rate,wrong_enable_rate
RTX 4060,0.074502,0.095068,0.0,0.0625,208,0.020865,amortization_policy,0.0,0.0625
RTX 4060,0.064496,0.095068,0.0,0.004808,208,0.023421,risk_aware_policy,0.0,0.149038
RTX 4060,0.061,0.095068,0.0,0.004808,208,0.025241,first_k_probe_policy,0.0,0.153846
RTX 4060,0.44747,0.038801,0.005607,0.298077,208,0.087324,workload_family_holdout_policy,0.0,0.0
RTX 4060,0.44747,0.038801,0.005607,0.298077,208,0.087324,always_eager,0.0,0.0
RTX 4060,0.203621,0.095068,0.0,0.0,208,0.044876,always_graphs,0.384615,0.375
RTX 4060,0.064496,0.095068,0.0,0.0625,208,0.024707,static_gate_plus_eligibility,0.0,0.0625
V100,0.061185,0.01598,0.0,0.0625,208,0.017985,amortization_policy,0.0,0.081731
V100,0.079247,0.017736,0.0,0.0,208,0.025843,risk_aware_policy,0.0,0.173077
V100,0.079247,0.017736,0.0,0.0,208,0.025843,first_k_probe_policy,0.0,0.173077
V100,0.700619,0.05638,0.005771,0.288462,208,0.126885,workload_family_holdout_policy,0.0,0.0
V100,0.700619,0.05638,0.005771,0.288462,208,0.126885,always_eager,0.0,0.0
V100,0.131747,0.017963,0.0,0.0,208,0.06683,always_graphs,0.384615,0.403846
V100,0.061185,0.01598,0.0,0.0625,208,0.020641,static_gate_plus_eligibility,0.0,0.081731
A100,0.154474,0.032611,0.0,0.105769,208,0.043197,amortization_policy,0.0,0.033654
A100,0.102756,0.032611,0.0,0.004808,208,0.038345,risk_aware_policy,0.0,0.091346
A100,0.102756,0.032611,0.0,0.004808,208,0.038345,first_k_probe_policy,0.0,0.091346
A100,0.971111,0.143311,0.02223,0.375,208,0.309188,workload_family_holdout_policy,0.0,0.0
A100,0.971111,0.143311,0.02223,0.375,208,0.309188,always_eager,0.0,0.0
A100,0.376933,0.035626,0.0,0.0,208,0.059512,always_graphs,0.384615,0.302885
A100,0.103703,0.032611,0.0,0.105769,208,0.0447,static_gate_plus_eligibility,0.0,0.033654
H100,0.050232,0.010372,0.0,0.028846,208,0.027426,amortization_policy,0.0,0.096154
H100,0.06257,0.011724,0.0,0.004808,208,0.036697,risk_aware_policy,0.0,0.225962
H100,0.06257,0.011724,0.0,0.004808,208,0.036971,first_k_probe_policy,0.0,0.225962
H100,0.32346,0.051261,0.006887,0.235577,208,0.10572,workload_family_holdout_policy,0.0,0.0
H100,0.32346,0.051261,0.006887,0.235577,208,0.10572,always_eager,0.0,0.0
H100,0.088886,0.017295,0.011771,0.0,208,0.053424,always_graphs,0.384615,0.451923
H100,0.056299,0.012461,0.0,0.028846,208,0.030284,static_gate_plus_eligibility,0.0,0.096154
