device,load_level,max_regret_vs_oracle_s,mean_arrival_rate_lambda,mean_effective_offered_load,mean_p95_completion_time_s,mean_service_time_s,mean_wasted_optimization_overhead_s,missed_opportunity_rate,p90_normalized_regret,policy,policy_failure_rate,target_utilization,unstable_seed_count,wrong_enable_rate
RTX 4060,,0.0,,,,,,0.0,0.0,oracle_best_action,0.0,,,0.0
RTX 4060,,0.095068,,,,,,0.0625,0.020865,amortization_policy,0.0,,,0.0625
RTX 4060,,0.095068,,,,,,0.004808,0.023421,risk_aware_policy,0.0,,,0.149038
RTX 4060,,0.095068,,,,,,0.0625,0.024707,static_gate_plus_eligibility,0.0,,,0.0625
RTX 4060,,0.04094,,,,,,0.298077,0.090687,always_best_eager,0.076923,,,0.0
RTX 4060,,0.095068,,,,,,0.0,0.044876,always_graphs,0.384615,,,0.375
RTX 4060,,3.204212,,,,,,0.0625,0.046617,static_threshold,0.038462,,,0.134615
RTX 4060,,4.568833,,,,,,0.0625,38.489698,job_length_only,0.0,,,0.5
RTX 4060,,3.204212,,,,,,0.0,24.712868,shape_only,0.076923,,,0.423077
RTX 4060,,4.568833,,,,,,0.0,49.370762,always_compile,0.0,,,1.0
V100,,0.0,,,,,,0.0,0.0,oracle_best_action,0.0,,,0.0
V100,,0.01598,,,,,,0.0625,0.017985,amortization_policy,0.0,,,0.081731
V100,,0.017736,,,,,,0.0,0.025843,risk_aware_policy,0.0,,,0.173077
V100,,0.01598,,,,,,0.0625,0.020641,static_gate_plus_eligibility,0.0,,,0.081731
V100,,0.053707,,,,,,0.288462,0.185894,always_best_eager,0.076923,,,0.0
V100,,0.017963,,,,,,0.0,0.06683,always_graphs,0.384615,,,0.403846
V100,,3.839134,,,,,,0.0625,0.03522,static_threshold,0.038462,,,0.153846
V100,,5.905543,,,,,,0.0625,61.372171,job_length_only,0.0,,,0.5
V100,,3.839134,,,,,,0.0,32.247539,shape_only,0.076923,,,0.451923
V100,,5.905543,,,,,,0.0,89.250525,always_compile,0.0,,,1.0
A100,,0.0,,,,,,0.0,0.0,oracle_best_action,0.0,,,0.0
A100,,0.032611,,,,,,0.105769,0.043197,amortization_policy,0.0,,,0.033654
A100,,0.032611,,,,,,0.004808,0.038345,risk_aware_policy,0.0,,,0.091346
A100,,0.032611,,,,,,0.105769,0.0447,static_gate_plus_eligibility,0.0,,,0.033654
A100,,0.147492,,,,,,0.375,0.331272,always_best_eager,0.076923,,,0.0
A100,,0.035626,,,,,,0.0,0.059512,always_graphs,0.384615,,,0.302885
A100,,5.149054,,,,,,0.105769,0.082458,static_threshold,0.038462,,,0.110577
A100,,7.716716,,,,,,0.105769,38.523763,job_length_only,0.0,,,0.5
A100,,5.149054,,,,,,0.0,22.364491,shape_only,0.076923,,,0.360577
A100,,7.720731,,,,,,0.0,49.147325,always_compile,0.0,,,1.0
H100,,0.0,,,,,,0.0,0.0,oracle_best_action,0.0,,,0.0
H100,,0.010372,,,,,,0.028846,0.027426,amortization_policy,0.0,,,0.096154
H100,,0.011724,,,,,,0.004808,0.036697,risk_aware_policy,0.0,,,0.225962
H100,,0.012461,,,,,,0.028846,0.030284,static_gate_plus_eligibility,0.0,,,0.096154
H100,,0.053536,,,,,,0.235577,0.121457,always_best_eager,0.076923,,,0.0
H100,,0.017295,,,,,,0.0,0.053424,always_graphs,0.384615,,,0.451923
H100,,4.54314,,,,,,0.028846,0.041524,static_threshold,0.038462,,,0.163462
H100,,5.938584,,,,,,0.028846,26.198968,job_length_only,0.0,,,0.5
H100,,4.54314,,,,,,0.0,15.247227,shape_only,0.076923,,,0.485577
H100,,5.938584,,,,,,0.0,31.848514,always_compile,0.0,,,1.0
RTX 4060,heavy,,5.8366,0.88131,9.256404,0.150997,0.0,,,oracle_best_action,,0.9,0,
RTX 4060,heavy,,5.8366,0.889331,9.636101,0.152371,6.163545,,,amortization_policy,,0.9,0,
RTX 4060,heavy,,5.8366,0.890323,9.668853,0.152541,6.163545,,,static_gate_plus_eligibility,,0.9,0,
RTX 4060,heavy,,5.8366,0.899176,9.784595,0.154058,0.0,,,always_best_eager,,0.9,1,
RTX 4060,heavy,,5.8366,0.893813,9.781862,0.153139,25.475245,,,always_graphs,,0.9,1,
RTX 4060,heavy,,5.8366,2.082877,176.79538,0.356865,139.615381,,,static_threshold,,0.9,5,
RTX 4060,heavy,,5.8366,17.257956,2648.568069,2.956851,1953.53935,,,always_compile,,0.9,5,
V100,heavy,,7.213229,0.888966,3.545123,0.123241,0.0,,,oracle_best_action,,0.9,0,
V100,heavy,,7.213229,0.893641,3.648613,0.123889,6.951948,,,amortization_policy,,0.9,0,
V100,heavy,,7.213229,0.894862,3.676219,0.124058,6.94868,,,static_gate_plus_eligibility,,0.9,0,
V100,heavy,,7.213229,0.918544,4.144659,0.127342,0.0,,,always_best_eager,,0.9,0,
V100,heavy,,7.213229,0.898813,3.740376,0.124606,24.745623,,,always_graphs,,0.9,0,
V100,heavy,,7.213229,2.848624,243.211845,0.394917,169.183501,,,static_threshold,,0.9,5,
V100,heavy,,7.213229,28.112081,3572.526542,3.897295,2437.314425,,,always_compile,,0.9,5,
A100,heavy,,4.384196,0.894473,3.243149,0.204022,0.0,,,oracle_best_action,,0.9,0,
A100,heavy,,4.384196,0.904332,3.397516,0.206271,7.100627,,,amortization_policy,,0.9,0,
A100,heavy,,4.384196,0.906061,3.467418,0.206665,7.100627,,,static_gate_plus_eligibility,,0.9,0,
A100,heavy,,4.384196,0.955918,5.166334,0.218037,0.0,,,always_best_eager,,0.9,0,
A100,heavy,,4.384196,0.907232,3.447026,0.206932,35.562569,,,always_graphs,,0.9,0,
A100,heavy,,4.384196,2.500178,324.618842,0.570271,229.812355,,,static_threshold,,0.9,5,
A100,heavy,,4.384196,22.829221,4732.56985,5.207163,3285.656815,,,always_compile,,0.9,5,
H100,heavy,,4.509396,0.89704,2.728344,0.198927,0.0,,,oracle_best_action,,0.9,0,
H100,heavy,,4.509396,0.90277,2.811289,0.200198,15.210485,,,amortization_policy,,0.9,0,
H100,heavy,,4.509396,0.904227,2.842881,0.200521,15.214775,,,static_gate_plus_eligibility,,0.9,0,
H100,heavy,,4.509396,0.920716,3.143286,0.204177,0.0,,,always_best_eager,,0.9,0,
H100,heavy,,4.509396,0.908808,2.884448,0.201537,57.456506,,,always_graphs,,0.9,0,
H100,heavy,,4.509396,2.164867,245.123269,0.480079,184.846424,,,static_threshold,,0.9,5,
H100,heavy,,4.509396,17.527974,3482.888963,3.886989,2541.480525,,,always_compile,,0.9,5,
