device,load_level,mean_arrival_rate_lambda,mean_effective_offered_load,mean_missed_opportunity_count,mean_p95_completion_time_s,mean_p95_wait_time_s,mean_service_time_s,mean_throughput_jobs_per_s,mean_wasted_optimization_overhead_s,mean_wrong_admit_count,num_seeds,policy,target_utilization,unstable_seed_count
RTX 4060,heavy,5.8366,0.899176,294.2,9.784595,9.635844,0.154058,5.750837,0.0,0.0,5,always_best_eager,0.9,1
RTX 4060,heavy,5.8366,17.257956,0.0,2648.568069,2645.457893,2.956851,0.338212,1953.53935,1000.0,5,always_compile,0.9,5
RTX 4060,heavy,5.8366,11.887112,0.0,1773.742878,1773.13047,2.03665,0.491038,1326.560724,767.0,5,always_compile_plus_graphs,0.9,5
RTX 4060,heavy,5.8366,17.308356,0.0,2656.819515,2653.670677,2.965486,0.337227,1957.997798,1000.0,5,always_compile_reduce_overhead,0.9,5
RTX 4060,heavy,5.8366,0.899176,0.0,9.784595,9.635844,0.154058,5.750837,0.0,0.0,5,always_cpu,0.9,1
RTX 4060,heavy,5.8366,0.903308,294.2,9.908258,9.755444,0.154766,5.750028,0.0,0.0,5,always_eager,0.9,1
RTX 4060,heavy,5.8366,0.893813,0.0,9.781862,9.631758,0.153139,5.749895,25.475245,383.2,5,always_graphs,0.9,1
RTX 4060,heavy,5.8366,0.916424,0.0,10.692948,10.530927,0.157013,5.741107,37.70035,562.6,5,always_graphs_input_copy,0.9,1
RTX 4060,heavy,5.8366,0.903308,294.2,9.908258,9.755444,0.154766,5.750028,0.0,0.0,5,amort_ablation_startup_only,0.9,1
RTX 4060,heavy,5.8366,0.889331,62.0,9.636101,9.489376,0.152371,5.751381,6.163545,61.6,5,amort_ablation_startup_step,0.9,0
RTX 4060,heavy,5.8366,0.889331,62.0,9.636101,9.489376,0.152371,5.751381,6.163545,61.6,5,amort_ablation_startup_step_risk,0.9,0
RTX 4060,heavy,5.8366,0.894755,0.0,9.807114,9.657351,0.153301,5.749597,25.475245,307.8,5,amort_ablation_step_only,0.9,1
RTX 4060,heavy,5.8366,0.889331,62.0,9.636101,9.489376,0.152371,5.751381,6.163545,61.6,5,amortization_policy,0.9,0
RTX 4060,heavy,5.8366,0.890885,5.8,9.678204,9.535013,0.152638,5.75089,13.490046,155.0,5,first_k_probe_policy,0.9,0
RTX 4060,heavy,5.8366,8.982155,62.0,1307.602586,1306.703645,1.538936,0.649941,970.166187,496.0,5,job_length_only,0.9,5
RTX 4060,heavy,5.8366,0.88131,0.0,9.256404,9.108932,0.150997,5.75481,0.0,0.0,5,oracle_best_action,0.9,0
RTX 4060,heavy,5.8366,0.890292,5.8,9.65733,9.511011,0.152536,5.750879,12.92301,151.2,5,risk_aware_policy,0.9,0
RTX 4060,heavy,5.8366,3.129883,0.0,349.406251,349.007183,0.536251,1.869862,274.623425,434.2,5,shape_only,0.9,5
RTX 4060,heavy,5.8366,0.889996,62.0,9.654946,9.509785,0.152485,5.751217,6.163545,103.4,5,static_gate_only,0.9,0
RTX 4060,heavy,5.8366,0.890323,62.0,9.668853,9.520047,0.152541,5.751037,6.163545,61.6,5,static_gate_plus_eligibility,0.9,0
RTX 4060,heavy,5.8366,2.082877,62.0,176.79538,176.428774,0.356865,2.80621,139.615381,138.4,5,static_threshold,0.9,5
RTX 4060,heavy,5.8366,0.892994,118.0,9.73099,9.573718,0.152999,5.750677,6.426749,63.6,5,workload_agnostic_logreg_policy,0.9,0
RTX 4060,heavy,5.8366,0.89242,97.0,9.713763,9.553323,0.152901,5.750843,5.818685,57.6,5,workload_agnostic_tree_policy,0.9,0
RTX 4060,heavy,5.8366,0.903308,294.2,9.908258,9.755444,0.154766,5.750028,0.0,0.0,5,workload_family_holdout_policy,0.9,1
RTX 4060,light,2.269789,0.34968,294.2,2.293476,1.975145,0.154058,2.267363,0.0,0.0,5,always_best_eager,0.35,0
RTX 4060,light,2.269789,6.711428,0.0,2391.81351,2388.703334,2.956851,0.338212,1953.53935,1000.0,5,always_compile,0.35,5
RTX 4060,light,2.269789,4.622766,0.0,1517.067035,1516.127492,2.03665,0.490982,1326.560724,767.0,5,always_compile_plus_graphs,0.35,5
RTX 4060,light,2.269789,6.731027,0.0,2400.064956,2396.916119,2.965486,0.337227,1957.997798,1000.0,5,always_compile_reduce_overhead,0.35,5
RTX 4060,light,2.269789,0.34968,0.0,2.293476,1.975145,0.154058,2.267363,0.0,0.0,5,always_cpu,0.35,0
RTX 4060,light,2.269789,0.351287,294.2,2.294119,1.97856,0.154766,2.267354,0.0,0.0,5,always_eager,0.35,0
RTX 4060,light,2.269789,0.347594,0.0,2.332098,2.042946,0.153139,2.267376,25.475245,383.2,5,always_graphs,0.35,0
RTX 4060,light,2.269789,0.356387,0.0,2.376984,2.105222,0.157013,2.267329,37.70035,562.6,5,always_graphs_input_copy,0.35,0
RTX 4060,light,2.269789,0.351287,294.2,2.294119,1.97856,0.154766,2.267354,0.0,0.0,5,amort_ablation_startup_only,0.35,0
RTX 4060,light,2.269789,0.345851,62.0,2.325207,2.039868,0.152371,2.26737,6.163545,61.6,5,amort_ablation_startup_step,0.35,0
RTX 4060,light,2.269789,0.345851,62.0,2.325207,2.039868,0.152371,2.26737,6.163545,61.6,5,amort_ablation_startup_step_risk,0.35,0
RTX 4060,light,2.269789,0.347961,0.0,2.331577,2.042434,0.153301,2.267369,25.475245,307.8,5,amort_ablation_step_only,0.35,0
RTX 4060,light,2.269789,0.345851,62.0,2.325207,2.039868,0.152371,2.26737,6.163545,61.6,5,amortization_policy,0.35,0
