batch_size,cache_state,ci95_overlap,device_label,marginal_rank,num_steps,oracle_action,oracle_runtime_s,relative_margin,runner_up_action,runner_up_runtime_s,time_accounting_mode,workload_id
1,cold_cache,True,RTX 4060,True,10,best_eager,0.121046,0.023421,eager,0.123881,cold_total,cv_online_infer
1,cold_cache,True,RTX 4060,True,50,best_eager,0.132688,0.00722,eager,0.133646,cold_total,cv_online_infer
1,cold_cache,True,RTX 4060,True,100,best_eager,0.146844,0.000735,eager,0.146952,cold_total,cv_online_infer
1,cold_cache,True,RTX 4060,True,500,graphs_only,0.248501,0.016789,best_eager,0.252673,cold_total,cv_online_infer
4,cold_cache,True,RTX 4060,True,10,eager,0.130128,0.009375,best_eager,0.131348,cold_total,cv_online_infer
4,cold_cache,True,RTX 4060,True,50,eager,0.168535,0.008277,best_eager,0.16993,cold_total,cv_online_infer
4,cold_cache,True,RTX 4060,True,100,best_eager,0.217146,0.000378,eager,0.217228,cold_total,cv_online_infer
4,cold_cache,True,RTX 4060,True,500,graphs_only,0.545779,0.005608,eager,0.54884,cold_total,cv_online_infer
16,cold_cache,True,RTX 4060,True,10,best_eager,0.169261,6.5e-05,eager,0.169272,cold_total,cv_online_infer
16,cold_cache,True,RTX 4060,True,50,best_eager,0.364551,0.017943,eager,0.371092,cold_total,cv_online_infer
16,cold_cache,True,RTX 4060,True,100,best_eager,0.601396,0.013509,graphs_only,0.60952,cold_total,cv_online_infer
16,cold_cache,True,RTX 4060,True,500,eager,2.440816,0.001291,best_eager,2.443968,cold_total,cv_online_infer
32,cold_cache,True,RTX 4060,True,10,best_eager,0.220242,0.007973,eager,0.221998,cold_total,cv_online_infer
32,cold_cache,True,RTX 4060,True,50,best_eager,0.648568,0.000217,eager,0.648709,cold_total,cv_online_infer
32,cold_cache,True,RTX 4060,True,100,best_eager,1.167065,0.006514,eager,1.174667,cold_total,cv_online_infer
32,cold_cache,True,RTX 4060,True,500,eager,5.334243,0.000829,best_eager,5.338664,cold_total,cv_online_infer
1,cold_cache,True,RTX 4060,True,10,eager,0.063994,0.006297,graphs_only,0.064397,cold_total,decode_toy
1,cold_cache,True,RTX 4060,True,50,graphs_only,0.066905,0.002586,best_eager,0.067078,cold_total,decode_toy
1,cold_cache,True,RTX 4060,False,100,graphs_only,0.06646,0.073608,graphs_input_copy,0.071352,cold_total,decode_toy
1,cold_cache,False,RTX 4060,False,500,graphs_only,0.075941,0.225833,graphs_input_copy,0.093091,cold_total,decode_toy
4,cold_cache,True,RTX 4060,True,10,best_eager,0.063192,0.025241,eager,0.064787,cold_total,decode_toy
4,cold_cache,True,RTX 4060,True,50,graphs_only,0.067353,0.002331,eager,0.06751,cold_total,decode_toy
4,cold_cache,False,RTX 4060,True,100,graphs_only,0.06768,0.045819,eager,0.070781,cold_total,decode_toy
4,cold_cache,False,RTX 4060,False,500,graphs_only,0.075578,0.209505,graphs_input_copy,0.091412,cold_total,decode_toy
16,cold_cache,True,RTX 4060,True,10,best_eager,0.063756,0.005254,eager,0.064091,cold_total,decode_toy
16,cold_cache,True,RTX 4060,True,50,graphs_only,0.066574,0.010515,eager,0.067274,cold_total,decode_toy
16,cold_cache,False,RTX 4060,False,100,graphs_only,0.066292,0.05954,graphs_input_copy,0.070239,cold_total,decode_toy
16,cold_cache,False,RTX 4060,False,500,graphs_only,0.074761,0.24359,graphs_input_copy,0.092972,cold_total,decode_toy
32,cold_cache,True,RTX 4060,True,10,best_eager,0.068933,0.006369,eager,0.069372,cold_total,decode_toy
32,cold_cache,True,RTX 4060,True,50,best_eager,0.073039,0.004176,graphs_only,0.073344,cold_total,decode_toy
32,cold_cache,True,RTX 4060,True,100,graphs_only,0.074983,0.038822,graphs_input_copy,0.077894,cold_total,decode_toy
32,cold_cache,False,RTX 4060,False,500,graphs_only,0.090834,0.170035,graphs_input_copy,0.106279,cold_total,decode_toy
1,cold_cache,True,RTX 4060,True,10,best_eager,0.079024,0.000418,eager,0.079057,cold_total,dlrm_recommendation
1,cold_cache,True,RTX 4060,True,50,graphs_only,0.081224,0.022727,eager,0.08307,cold_total,dlrm_recommendation
1,cold_cache,False,RTX 4060,False,100,graphs_only,0.082624,0.054258,graphs_input_copy,0.087107,cold_total,dlrm_recommendation
1,cold_cache,False,RTX 4060,False,500,graphs_only,0.092147,0.224619,graphs_input_copy,0.112845,cold_total,dlrm_recommendation
4,cold_cache,True,RTX 4060,True,10,eager,0.086192,0.001764,best_eager,0.086344,cold_total,dlrm_recommendation
4,cold_cache,True,RTX 4060,True,50,graphs_only,0.08849,0.025054,eager,0.090707,cold_total,dlrm_recommendation
4,cold_cache,True,RTX 4060,True,100,graphs_only,0.091209,0.042309,best_eager,0.095068,cold_total,dlrm_recommendation
4,cold_cache,False,RTX 4060,False,500,graphs_only,0.106943,0.22037,graphs_input_copy,0.13051,cold_total,dlrm_recommendation
16,cold_cache,True,RTX 4060,True,10,best_eager,0.086824,0.000841,eager,0.086897,cold_total,dlrm_recommendation
16,cold_cache,True,RTX 4060,True,50,best_eager,0.090414,0.008406,eager,0.091174,cold_total,dlrm_recommendation
16,cold_cache,True,RTX 4060,True,100,best_eager,0.096695,0.003092,eager,0.096994,cold_total,dlrm_recommendation
16,cold_cache,False,RTX 4060,True,500,graphs_only,0.138651,0.027883,best_eager,0.142517,cold_total,dlrm_recommendation
32,cold_cache,True,RTX 4060,True,10,eager,0.067485,0.000533,best_eager,0.067521,cold_total,dlrm_recommendation
32,cold_cache,True,RTX 4060,True,50,graphs_only,0.06834,0.007682,best_eager,0.068865,cold_total,dlrm_recommendation
