action,batch_size,median_total_runtime_s,normalized_regret_vs_oracle,num_steps,oracle_action,workload_id
eager,16,0.085217,0.0,10,eager,short_train_small
eager,16,0.095166,0.0,50,eager,short_train_small
eager,16,0.106486,0.0,100,eager,short_train_small
eager,16,0.206852,0.0,500,eager,short_train_small
graphs_only,16,0.085099,-0.001385,10,eager,short_train_small
graphs_only,16,0.087256,-0.083118,50,eager,short_train_small
graphs_only,16,0.091865,-0.137304,100,eager,short_train_small
graphs_only,16,0.115404,-0.442094,500,eager,short_train_small
compile_only,16,2.847256,32.411831,10,eager,short_train_small
compile_only,16,2.872137,29.180285,50,eager,short_train_small
compile_only,16,2.877829,26.025421,100,eager,short_train_small
compile_only,16,3.031532,13.65556,500,eager,short_train_small
eager,16,0.064648,0.016878,10,best_eager,llm_decode_proxy
eager,16,0.066546,0.046617,50,graphs_only,llm_decode_proxy
eager,16,0.072409,0.051417,100,graphs_only,llm_decode_proxy
eager,16,0.108412,0.337215,500,graphs_only,llm_decode_proxy
best_eager,16,0.063575,0.0,10,best_eager,llm_decode_proxy
best_eager,16,0.068319,0.074502,50,graphs_only,llm_decode_proxy
best_eager,16,0.070736,0.027124,100,graphs_only,llm_decode_proxy
best_eager,16,0.106239,0.310412,500,graphs_only,llm_decode_proxy
graphs_only,16,0.065868,0.036068,10,best_eager,llm_decode_proxy
graphs_only,16,0.063582,0.0,50,graphs_only,llm_decode_proxy
graphs_only,16,0.068868,0.0,100,graphs_only,llm_decode_proxy
graphs_only,16,0.081073,0.0,500,graphs_only,llm_decode_proxy
compile_only,16,2.844179,43.737381,10,best_eager,llm_decode_proxy
compile_only,16,2.834615,43.582036,50,graphs_only,llm_decode_proxy
compile_only,16,2.845503,40.318217,100,graphs_only,llm_decode_proxy
compile_only,16,2.893385,34.688639,500,graphs_only,llm_decode_proxy
eager,16,0.169272,6.5e-05,10,best_eager,cv_online_infer
eager,16,0.371092,0.017943,50,best_eager,cv_online_infer
eager,16,0.634693,0.055366,100,best_eager,cv_online_infer
eager,16,2.440816,0.0,500,eager,cv_online_infer
best_eager,16,0.169261,0.0,10,best_eager,cv_online_infer
best_eager,16,0.364551,0.0,50,best_eager,cv_online_infer
best_eager,16,0.601396,0.0,100,best_eager,cv_online_infer
best_eager,16,2.443968,0.001291,500,eager,cv_online_infer
graphs_only,16,0.189798,0.121333,10,best_eager,cv_online_infer
graphs_only,16,0.380489,0.04372,50,best_eager,cv_online_infer
graphs_only,16,0.60952,0.013509,100,best_eager,cv_online_infer
graphs_only,16,2.456235,0.006317,500,eager,cv_online_infer
compile_only,16,4.008288,22.681108,10,best_eager,cv_online_infer
compile_only,16,4.132459,10.33575,50,best_eager,cv_online_infer
compile_only,16,4.311431,6.169038,100,best_eager,cv_online_infer
compile_only,16,5.659485,1.318686,500,eager,cv_online_infer
eager,16,0.053555,0.013493,10,best_eager,dynamic_shape_infer_small
eager,16,0.054002,0.0,50,eager,dynamic_shape_infer_small
eager,16,0.05598,0.0,100,eager,dynamic_shape_infer_small
eager,16,0.071899,0.0,500,eager,dynamic_shape_infer_small
best_eager,16,0.052842,0.0,10,best_eager,dynamic_shape_infer_small
best_eager,16,0.054265,0.00487,50,eager,dynamic_shape_infer_small
best_eager,16,0.057392,0.025223,100,eager,dynamic_shape_infer_small
best_eager,16,0.07298,0.015035,500,eager,dynamic_shape_infer_small
compile_only,16,2.272388,42.003444,10,best_eager,dynamic_shape_infer_small
compile_only,16,2.267906,40.996704,50,eager,dynamic_shape_infer_small
compile_only,16,2.27923,39.715077,100,eager,dynamic_shape_infer_small
compile_only,16,2.311007,31.142408,500,eager,dynamic_shape_infer_small
