action,batch_size,num_steps,runtime_ratio_vs_eager,workload_id
graphs_only,16,10,0.998615,short_train_small
graphs_only,16,50,0.916882,short_train_small
graphs_only,16,100,0.862696,short_train_small
graphs_only,16,500,0.557906,short_train_small
compile_only,16,10,33.411831,short_train_small
compile_only,16,50,30.180285,short_train_small
compile_only,16,100,27.025421,short_train_small
compile_only,16,500,14.65556,short_train_small
best_eager,16,10,0.983402,llm_decode_proxy
best_eager,16,50,1.026643,llm_decode_proxy
best_eager,16,100,0.976895,llm_decode_proxy
best_eager,16,500,0.979956,llm_decode_proxy
graphs_only,16,10,1.018871,llm_decode_proxy
graphs_only,16,50,0.955459,llm_decode_proxy
graphs_only,16,100,0.951097,llm_decode_proxy
graphs_only,16,500,0.747823,llm_decode_proxy
compile_only,16,10,43.994849,llm_decode_proxy
compile_only,16,50,42.596324,llm_decode_proxy
compile_only,16,100,39.297643,llm_decode_proxy
compile_only,16,500,26.688789,llm_decode_proxy
best_eager,16,10,0.999935,cv_online_infer
best_eager,16,50,0.982374,cv_online_infer
best_eager,16,100,0.947538,cv_online_infer
best_eager,16,500,1.001291,cv_online_infer
graphs_only,16,10,1.12126,cv_online_infer
graphs_only,16,50,1.025323,cv_online_infer
graphs_only,16,100,0.960338,cv_online_infer
graphs_only,16,500,1.006317,cv_online_infer
compile_only,16,10,23.679569,cv_online_infer
compile_only,16,50,11.135942,cv_online_infer
compile_only,16,100,6.792939,cv_online_infer
compile_only,16,500,2.318686,cv_online_infer
best_eager,16,10,0.986687,dynamic_shape_infer_small
best_eager,16,50,1.00487,dynamic_shape_infer_small
best_eager,16,100,1.025223,dynamic_shape_infer_small
best_eager,16,500,1.015035,dynamic_shape_infer_small
compile_only,16,10,42.430921,dynamic_shape_infer_small
compile_only,16,50,41.996704,dynamic_shape_infer_small
compile_only,16,100,40.715077,dynamic_shape_infer_small
compile_only,16,500,32.142408,dynamic_shape_infer_small
