action,device,matched_completed_pairs,max_warm_cold_total_runtime_ratio,median_warm_cold_total_runtime_ratio,min_warm_cold_total_runtime_ratio,warm_faster_count
best_eager,RTX 4060,18,1.009543,0.983004,0.953629,16
compile_only,RTX 4060,24,0.637311,0.547812,0.477335,24
compile_reduce_overhead,RTX 4060,24,0.63853,0.54603,0.478707,24
eager,RTX 4060,24,1.007964,0.98837,0.963354,18
graphs_only,RTX 4060,18,1.049196,0.984905,0.962622,15
best_eager,V100,18,1.019261,0.994389,0.978901,11
compile_only,V100,24,0.675535,0.602605,0.535723,24
compile_reduce_overhead,V100,24,0.680993,0.592883,0.540554,24
eager,V100,24,1.039804,0.990719,0.960441,19
graphs_only,V100,18,1.030802,0.990708,0.9689,13
best_eager,A100,18,1.038778,0.992012,0.908947,10
compile_only,A100,24,0.728578,0.592981,0.515984,24
compile_reduce_overhead,A100,24,0.776174,0.580928,0.513815,24
eager,A100,24,1.07455,1.012811,0.872988,9
graphs_only,A100,18,1.142221,0.999486,0.885173,9
best_eager,H100,18,1.070616,1.007003,0.973634,6
compile_only,H100,24,0.742631,0.582249,0.513951,24
compile_reduce_overhead,H100,24,0.675002,0.567262,0.533555,24
eager,H100,24,1.064577,1.0126,0.983391,6
graphs_only,H100,18,1.071455,1.015875,0.971894,4
