device,max_normalized_regret,max_regret_vs_oracle_s,mean_normalized_regret,mean_regret_vs_oracle_s,median_normalized_regret,missed_opportunity_count,missed_opportunity_rate,n_conditions,p90_normalized_regret,p95_normalized_regret,policy,policy_failure_count,policy_failure_rate,total_regret_vs_oracle_s,wrong_enable_count,wrong_enable_rate
RTX 4060,0.403505,0.029974,0.050061,0.004816,0.002648,5,0.208333,24,0.071819,0.316896,always_best_eager,6,0.25,0.086685,0,0.0
RTX 4060,30.355867,1.658605,15.366932,1.415046,16.06268,0,0.0,24,25.571737,25.728723,always_compile,0,0.0,33.961105,24,1.0
RTX 4060,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,always_compile_plus_graphs,24,1.0,0.0,6,0.25
RTX 4060,30.128026,1.681707,15.379174,1.417876,16.022101,0,0.0,24,25.343603,26.06923,always_compile_reduce_overhead,0,0.0,34.029015,24,1.0
RTX 4060,,,,,,0,0.0,24,,,always_cpu,24,1.0,,0,0.0
RTX 4060,0.429877,0.038963,0.045834,0.005447,0.007248,5,0.208333,24,0.068056,0.072299,always_eager,0,0.0,0.130724,0,0.0
RTX 4060,0.041154,0.029299,0.010177,0.004478,0.0,0,0.0,24,0.026385,0.039382,always_graphs,12,0.5,0.080599,13,0.541667
RTX 4060,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,always_graphs_input_copy,24,1.0,0.0,6,0.25
RTX 4060,0.429877,0.038963,0.045834,0.005447,0.007248,5,0.208333,24,0.068056,0.072299,amort_ablation_startup_only,0,0.0,0.130724,0,0.0
RTX 4060,0.026385,0.029299,0.00415,0.002131,0.0,1,0.041667,24,0.01209,0.012706,amort_ablation_startup_step,0,0.0,0.051145,3,0.125
RTX 4060,0.026385,0.029299,0.00415,0.002131,0.0,1,0.041667,24,0.01209,0.012706,amort_ablation_startup_step_risk,0,0.0,0.051145,3,0.125
RTX 4060,0.041154,0.029299,0.008478,0.003405,0.0,0,0.0,24,0.025627,0.026385,amort_ablation_step_only,0,0.0,0.081712,7,0.291667
RTX 4060,0.026385,0.029299,0.00415,0.002131,0.0,1,0.041667,24,0.01209,0.012706,amortization_policy,0,0.0,0.051145,3,0.125
RTX 4060,0.041154,0.029299,0.008478,0.003405,0.0,0,0.0,24,0.025627,0.026385,first_k_probe_policy,0,0.0,0.081712,7,0.291667
RTX 4060,28.450853,1.635655,9.472351,0.93763,6.913922,1,0.041667,24,20.798158,22.230277,job_length_only,0,0.0,22.503118,16,0.666667
RTX 4060,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,oracle_best_action,0,0.0,0.0,0,0.0
RTX 4060,0.041154,0.029299,0.009634,0.003459,0.0,0,0.0,24,0.025627,0.026385,risk_aware_policy,0,0.0,0.083013,7,0.291667
RTX 4060,14.497925,1.418754,2.861657,0.346866,0.01772,0,0.0,24,12.818567,12.999373,shape_only,0,0.0,8.324778,13,0.541667
RTX 4060,0.029547,0.029299,0.007405,0.002782,0.0,1,0.041667,24,0.020812,0.025627,static_gate_only,4,0.166667,0.066761,8,0.333333
RTX 4060,0.029547,0.029299,0.007405,0.002782,0.0,1,0.041667,24,0.020812,0.025627,static_gate_plus_eligibility,0,0.0,0.066761,4,0.166667
RTX 4060,12.999373,1.418754,1.659313,0.233662,0.010715,1,0.041667,24,6.894987,6.932858,static_threshold,0,0.0,5.607879,8,0.333333
RTX 4060,0.429877,0.031933,0.062822,0.008359,0.01772,5,0.208333,24,0.072299,0.338853,workload_agnostic_logreg_policy,6,0.25,0.150459,6,0.25
RTX 4060,0.403505,0.029974,0.061357,0.00825,0.01772,5,0.208333,24,0.072299,0.338853,workload_agnostic_tree_policy,6,0.25,0.1485,6,0.25
RTX 4060,0.429877,0.038963,0.045834,0.005447,0.007248,5,0.208333,24,0.068056,0.072299,workload_family_holdout_policy,0,0.0,0.130724,0,0.0
V100,0.555649,0.03985,0.077376,0.006745,0.017345,5,0.208333,24,0.076125,0.516727,always_best_eager,6,0.25,0.121404,0,0.0
V100,66.919472,2.422455,26.648089,2.144852,25.062346,0,0.0,24,46.715423,48.002319,always_compile,0,0.0,51.47644,24,1.0
V100,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,always_compile_plus_graphs,24,1.0,0.0,6,0.25
V100,67.857787,2.43819,26.749203,2.155219,25.046782,0,0.0,24,46.983791,48.612951,always_compile_reduce_overhead,0,0.0,51.725268,24,1.0
V100,,,,,,0,0.0,24,,,always_cpu,24,1.0,,0,0.0
V100,0.614978,0.044105,0.057979,0.004149,0.0,5,0.208333,24,0.073866,0.088682,always_eager,0,0.0,0.099571,0,0.0
V100,0.04165,0.011508,0.008301,0.002295,0.0,0,0.0,24,0.034204,0.035276,always_graphs,12,0.5,0.041311,11,0.458333
V100,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,always_graphs_input_copy,24,1.0,0.0,6,0.25
V100,0.614978,0.044105,0.057979,0.004149,0.0,5,0.208333,24,0.073866,0.088682,amort_ablation_startup_only,0,0.0,0.099571,0,0.0
V100,0.041874,0.011508,0.008509,0.001551,0.0,1,0.041667,24,0.021865,0.035276,amort_ablation_startup_step,0,0.0,0.037224,3,0.125
